id,name,now_cost,position,team,selected_rank,influence,points_per_game,starts,form,goals_scored,expected_goals_per_90,transfers_out_event,expected_goals_conceded,cost_change_event_fall,penalties_order,ict_index_rank_type,team_join_date,creativity,influence_rank,transfers_out,ep_next,saves_per_90,ep_this,cost_change_start,goals_conceded,expected_goal_involvements_per_90,points_per_game_rank,region,transfers_in,chance_of_playing_this_round,direct_freekicks_order,penalties_saved,now_cost_rank,creativity_rank_type,expected_goal_involvements,transfers_in_event,expected_assists_per_90,news,selected_rank_type,minutes,cost_change_start_fall,assists,ict_index,goals_conceded_per_90,starts_per_90,threat,influence_rank_type,value_form,creativity_rank,now_cost_rank_type,red_cards,news_added,corners_and_indirect_freekicks_order,expected_goals_conceded_per_90,event_points,total_points,threat_rank,can_select,web_name,threat_rank_type,points_per_game_rank_type,chance_of_playing_next_round,cost_change_event,form_rank,bonus,value_season,ict_index_rank,selected_by_percent,in_dreamteam,clean_sheets_per_90,expected_goals,penalties_missed,own_goals,yellow_cards,clean_sheets,form_rank_type,expected_assists,bps,dreamteam_count,status,saves
1,Fábio Ferreira Vieira,54,MID,Arsenal,653,0.0,0.0,0,0.0,0,0.0,1,0.00,0,,318,,0.0,713,2790,0.0,0.0,0.0,-1,0,0.0,713,,439,0.0,,0,130,317,0.00,0,0.0,Has joined Portuguese side FC Porto on loan for the 2024/25 season,284,0,1,0,0.0,0.0,0.0,0.0,318,0.0,711,78,0,2024-08-29T11:06:25.241953Z,,0.0,0,0,710,False,Fábio Vieira,316,318,0.0,0,697,0,0.0,713,0.0,False,0.0,0.00,0,0,0,0,310,0.00,0,0,u,0
2,Gabriel Fernando de Jesus,68,FWD,Arsenal,86,154.4,2.5,6,6.4,3,0.46,80238,5.82,1,,23,2022-07-04,119.5,247,1041671,0.0,0.0,0.0,-2,5,0.54,192,30.0,1236971,0.0,,0,32,24,3.57,63,0.08,Knee injury - Unknown return date,15,600,2,2,52.6,0.75,0.9,255.0,23,0.9,189,16,0,2025-01-12T22:00:07.802845Z,,0.87,0,42,70,True,G.Jesus,24,26,0.0,-1,11,6,6.2,161,4.3,False,0.3,3.05,0,0,4,2,3,0.52,152,2,i,0
3,Gabriel dos Santos Magalhães,64,DEF,Arsenal,8,412.6,4.6,18,2.8,3,0.14,7347,16.15,0,,14,2020-09-01,132.2,46,2330803,3.3,0.0,2.8,4,16,0.19,28,30.0,3928892,100.0,,0,49,39,3.34,5449,0.05,,1,1538,-4,2,79.6,0.94,1.05,251.0,15,0.4,177,3,0,2024-11-27T10:30:06.325759Z,,0.95,0,83,71,True,Gabriel,3,2,100.0,0,96,7,13.0,87,29.0,False,0.35,2.42,0,0,2,6,26,0.92,299,2,a,0
4,Kai Havertz,78,FWD,Arsenal,42,372.2,4.4,17,2.6,7,0.47,4565,15.63,0,3.0,7,2023-06-28,220.2,70,3098972,3.1,0.0,2.6,-2,16,0.55,37,80.0,2443194,100.0,,0,13,9,9.11,2657,0.08,,12,1480,2,2,115.2,0.97,1.03,559.0,10,0.3,106,5,0,2025-01-02T08:00:08.350130Z,,0.95,0,74,15,True,Havertz,8,11,100.0,0,103,10,9.5,28,8.3,False,0.36,7.77,0,0,3,6,15,1.34,283,1,a,0
5,Karl Hein,40,GKP,Arsenal,573,0.0,0.0,0,0.0,0,0.0,1,0.00,0,,62,,0.0,533,4331,0.0,0.0,0.0,0,0,0.0,538,,0,0.0,,0,642,43,0.00,0,0.0,Loaned to Real Valladolid,69,0,0,0,0.0,0.0,0.0,0.0,62,0.0,512,59,0,2024-08-14T08:31:46.556082Z,,0.0,0,0,477,False,Hein,30,62,0.0,0,441,0,0.0,532,0.0,False,0.0,0.00,0,0,0,0,52,0.00,0,0,u,0
6,Jurriën Timber,57,DEF,Arsenal,71,236.0,3.8,16,2.2,1,0.05,3683,12.14,0,,31,2023-07-14,208.3,175,727385,2.7,0.0,2.2,2,12,0.11,63,152.0,1164727,100.0,,0,94,24,1.65,1139,0.06,,26,1395,-2,1,61.2,0.77,1.03,170.0,66,0.4,115,9,0,2025-01-12T22:00:07.815228Z,,0.78,0,64,118,True,J.Timber,10,13,100.0,0,131,5,11.2,132,5.3,False,0.39,0.71,0,0,5,6,38,0.94,235,2,a,0
7,Jorge Luiz Frello Filho,47,MID,Arsenal,331,35.8,1.3,6,0.6,0,0.01,72,4.27,0,,180,2023-01-31,64.7,389,44020,1.1,0.0,0.6,-3,5,0.1,362,106.0,27441,100.0,,0,326,166,0.51,64,0.09,,104,456,3,0,10.4,0.99,1.18,3.0,179,0.1,268,210,0,2025-01-12T22:00:07.826638Z,,0.84,0,13,409,True,Jorginho,217,169,100.0,0,299,0,2.8,369,0.2,False,0.2,0.04,0,0,3,1,148,0.47,82,0,a,0
8,Jakub Kiwior,48,DEF,Arsenal,366,49.2,1.6,2,0.0,0,0.0,48,4.45,0,,135,2023-01-23,13.7,370,33452,0.5,0.0,0.0,-2,5,0.01,327,172.0,24401,,,0,313,131,0.03,16,0.01,,130,323,2,0,6.3,1.39,0.56,0.0,129,0.0,381,38,0,,,1.24,0,13,671,True,Kiwior,244,113,,0,644,0,2.7,402,0.2,False,0.28,0.00,0,0,0,1,238,0.03,39,0,a,0
9,Gabriel Martinelli Silva,68,MID,Arsenal,84,324.0,4.1,13,4.0,5,0.26,3352,11.88,0,,29,2019-07-15,304.6,104,918353,4.5,0.0,4.0,-2,12,0.47,49,30.0,1042953,100.0,,0,35,48,6.05,1496,0.21,,28,1166,2,2,107.4,0.93,1.0,446.0,36,0.6,63,17,0,2024-10-18T16:00:06.884775Z,,0.92,0,73,29,True,Martinelli,15,22,100.0,0,44,6,10.7,43,4.4,False,0.46,3.36,0,0,1,6,19,2.69,236,1,a,0
12,Ethan Nwaneri,45,MID,Arsenal,260,97.0,1.9,2,1.8,2,0.12,1489,1.59,0,,153,2022-09-17,66.8,314,88234,0.0,0.0,0.0,0,1,0.28,275,241.0,114376,0.0,,0,421,162,0.71,48,0.16,Muscle injury - Unknown return date,81,230,0,0,23.3,0.39,0.78,69.0,144,0.4,263,259,0,2025-01-04T22:00:06.872110Z,,0.62,0,23,235,True,Nwaneri,132,121,0.0,0,158,1,5.1,301,0.5,False,0.0,0.30,0,0,1,0,67,0.41,84,0,i,0
